timestamp_utc,exchange,pair,best_bid,best_ask,last_price
2026-03-11T05:41:21.968433+00:00,indodax,USDTIDR,16888,16889,16889
2026-03-11T05:42:24.872600+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T05:43:05.929778+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T05:44:08.536225+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T05:45:12.119202+00:00,indodax,USDTIDR,16889,16890,16889
2026-03-11T05:46:14.362730+00:00,indodax,USDTIDR,16889,16890,16889
2026-03-11T05:47:17.698868+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T05:48:20.405225+00:00,indodax,USDTIDR,16889,16890,16889
2026-03-11T05:49:23.210878+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T05:50:25.274695+00:00,indodax,USDTIDR,16889,16890,16889
2026-03-11T05:51:27.668991+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T05:52:30.592400+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T05:53:32.966621+00:00,indodax,USDTIDR,16889,16890,16889
2026-03-11T05:54:34.922038+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T05:55:37.390890+00:00,indodax,USDTIDR,16889,16890,16889
2026-03-11T05:56:40.316801+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T05:57:43.206298+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T05:58:45.565467+00:00,indodax,USDTIDR,16889,16890,16889
2026-03-11T05:59:47.566200+00:00,indodax,USDTIDR,16889,16890,16889
2026-03-11T06:00:53.075825+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T06:01:56.508422+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T06:03:00.089945+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T06:04:02.836187+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T06:05:05.429781+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T06:06:08.241477+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T06:07:10.373468+00:00,indodax,USDTIDR,16889,16890,16890
2026-03-11T06:08:12.956609+00:00,indodax,USDTIDR,16889,16890,16889
2026-03-11T06:09:15.629248+00:00,indodax,USDTIDR,16889,16890,16890
